	id	name	url_key	url_path	type	short_description	price	list_price	discount	discount_rate	rating_average	review_count	order_count	thumbnail_url	productset_group_name	categories
0	73795621	Apple Macbook Air 2020 M1 - 13 Inchs (Apple M1/ 8GB/ 256GB) - Hàng Chính Hãng-	apple-macbook-air-2020-m1-13-inchs-apple-m1-8gb-256gb-hang-chinh-hang-p73795621	apple-macbook-air-2020-m1-13-inchs-apple-m1-8gb-256gb-hang-chinh-hang-p73795621.html?spid=76756096	configurable	"Hiệu năng mạnh mẽ
MacBook Air mới sử dụng chip M1 có CPU 8 lõi, được chia thành 4 lõi hiệu suất cao (High Performance) và 4 lõi hiệu quả (High Efficiency) cùng với Neural Engine 16 lõi.


Nó cũng bao..."	25790000	29990000	4200000	14	5.0	7	0	https://salt.tikicdn.com/cache/280x280/ts/product/da/11/2c/6e7f12729e1319cf8dcf4e6b45f43854.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 2, ""name"": ""Root"", ""is_leaf"": false}"
1	74556865	Laptop Huawei Matebook D 15 (8GB/256GB) - Hàng Phân Phối Chính Hãng	laptop-huawei-matebook-d-15-8gb-256gb-hang-phan-phoi-chinh-hang-p74556865	laptop-huawei-matebook-d-15-8gb-256gb-hang-phan-phoi-chinh-hang-p74556865.html?spid=74556869	configurable	"

















*Hình ảnh sản phẩm và nội dung hiển thị trên các trang nêu trên chỉ nhằm mục đích tham khảo. Tính năng và thông số kỹ thuật của sản phẩm thực tế(bao gồm nhưng không giới hạn ở kiểu..."	14990000	14990000	0	0	4.8	29	0	https://salt.tikicdn.com/cache/280x280/ts/product/ab/16/14/4240db4a8b83412871826b3761a995b9.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 29010, ""name"": ""Laptop Truyền Thống"", ""is_leaf"": true}"
2	72761522	LapTop Lenovo ThinkBook 15 IIL 20SM00D9VN | Core i3 _ 1005G1 | 4GB | 512GB SSD PCIe | Win 10 | 15,6'' FHD IPS | Hàng Chính Hãng	laptop-lenovo-thinkbook-15-iil-20sm00d9vn-core-i3-_-1005g1-4gb-512gb-ssd-pcie-win-10-15-6-fhd-ips-hang-chinh-hang-p72761522	laptop-lenovo-thinkbook-15-iil-20sm00d9vn-core-i3-_-1005g1-4gb-512gb-ssd-pcie-win-10-15-6-fhd-ips-hang-chinh-hang-p72761522.html?spid=84717284	simple	Thông Số Kỹ ThuậtCPU 10th Generation Intel Core i3 _ 1005G1 Processor ( 1.20 GHz, 4M Cache, Up to 3.40 GHz)Memory 4GB DDr4 Bus 2666Mhz (1 x Slot RAM)Hard Disk 512GB PCIe NVMe M.2 SSD (Support x 1...	11439000	13890000	2451000	18	4.8	13	0	https://salt.tikicdn.com/cache/280x280/ts/product/9a/43/92/537394d4085b7ea622c8486825319441.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 29010, ""name"": ""Laptop Truyền Thống"", ""is_leaf"": true}"
3	73795660	Apple Macbook Pro 2020 M1 - 13 Inchs (Apple M1/ 8GB/ 512GB) - Hàng Chính Hãng	apple-macbook-pro-2020-m1-13-inchs-apple-m1-8gb-512gb-hang-chinh-hang-p73795660	apple-macbook-pro-2020-m1-13-inchs-apple-m1-8gb-512gb-hang-chinh-hang-p73795660.html?spid=100571293	configurable	"Thiết kế trau chuốt từng đường nét, trải nghiệm hình ảnh sắc nét với màn hình Retina
Vẫn kế thừa thiết kế từ người tiềm nhiệm trước đó của mình, Macbook Pro 2020 M1 vẫn sở hữu thiết kế nhôm nguyên..."	35990000	39990000	4000000	10	0.0	0	0	https://salt.tikicdn.com/cache/280x280/ts/product/4c/6d/4d/f024ad67f1eed077a94ef2045d39ad38.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 2, ""name"": ""Root"", ""is_leaf"": false}"
4	73177245	Laptop MSI Bravo 15 A4DCR-270VN (AMD Ryzen 5 4600H/ 8GB DDR4 3200MHz/ 256GB SSD M.2 PCIE/ AMD RX 5300M 3GB GDDR6/ 15.6 FHD IPS, 144Hz/ Win10) - Hàng Chính Hãng	laptop-msi-bravo-15-a4dcr-270vn-amd-ryzen-5-4600h-8gb-ddr4-3200mhz-256gb-ssd-m-2-pcie-amd-rx-5300m-3gb-gddr6-15-6-fhd-ips-144hz-win10-hang-chinh-hang-p73177245	laptop-msi-bravo-15-a4dcr-270vn-amd-ryzen-5-4600h-8gb-ddr4-3200mhz-256gb-ssd-m-2-pcie-amd-rx-5300m-3gb-gddr6-15-6-fhd-ips-144hz-win10-hang-chinh-hang-p73177245.html?spid=73177246	simple	"Thiết kế vỏ nhôm xước mỏng và nhẹ, mang tính thẩm mỹ cao
Laptop MSI Bravo 15 A4DCR-270VN (AMD Ryzen 5 4600H/ 8GB DDR4 3200MHz/ 256GB SSD M.2 PCIE/ AMD RX 5300M 3GB GDDR6/ 15.6 FHD IPS, 144Hz/ Win10) ..."	17779000	19490000	1711000	9	5.0	5	0	https://salt.tikicdn.com/cache/280x280/ts/product/20/fe/3c/39d340babb424ce43fe90011f94adaca.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 2, ""name"": ""Root"", ""is_leaf"": false}"
5	78047800	Máy Tính Xách Tay Laptop HUAWEI MateBook D14 AMD (R7 | 8GB/512GB) | Màn Hình HUAWEI Fullview 14-Inch | Card Đồ Họa RX Vega 10 Radeon | Phím Nguồn Kết Hợp Bảo Mật Vân Tay | Hàng Phân Phối Chính Hãng	may-tinh-xach-tay-huawei-matebook-d-14-r7-8-512g-he-dieu-hanh-windows-10-man-hinh-huawei-fullview-14-inch-huawei-share-phim-nguon-ket-hop-bao-mat-van-tay-hang-chinh-hang-p78047800	may-tinh-xach-tay-huawei-matebook-d-14-r7-8-512g-he-dieu-hanh-windows-10-man-hinh-huawei-fullview-14-inch-huawei-share-phim-nguon-ket-hop-bao-mat-van-tay-hang-chinh-hang-p78047800.html?spid=78047802	configurable	"



















Hệ điều hành
Hệ điều hành Windows 10


Kích thước và trọng lượng
Chiều dài: 322,5 mmChiều rộng: 214,8 mmĐộ mỏng: 15,9 mmTrọng lượng: Khoảng 1,38 kg


Chất liệu
Hợp kim nhôm A/C/D,..."	17790000	18990000	1200000	6	4.8	5	0	https://salt.tikicdn.com/cache/280x280/ts/product/6c/48/a5/0f4fc73de242d55049134ac29fc8ddea.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 29010, ""name"": ""Laptop Truyền Thống"", ""is_leaf"": true}"
6	70833240	Laptop HP Envy 13-ba1027TU 2K0B1PA (Core i5-1135G7/ 8GB DDR4 3200MHz (Onboard)/ 256GB PCIe NVMe M.2/ 13.3 FHD IPS/ Win10) - Hàng Chính Hãng	laptop-hp-envy-13-ba1027tu-2k0b1pa-core-i5-1135g7-8gb-ddr4-3200mhz-onboard-256gb-pcie-nvme-m-2-13-3-fhd-ips-win10-hang-chinh-hang-p70833240	laptop-hp-envy-13-ba1027tu-2k0b1pa-core-i5-1135g7-8gb-ddr4-3200mhz-onboard-256gb-pcie-nvme-m-2-13-3-fhd-ips-win10-hang-chinh-hang-p70833240.html?spid=70833242	simple	"Thiết kế nhỏ gọn tiện lợi
Laptop HP Envy 13-ba1027TU 2K0B1PA có kích thước nhỏ gọn siêu di động nhờ thiết kế viền mỏng và chế tác bằng chất liệu kim loại nguyên khối màu bạc đẹp mắt. Đây dường như là..."	21499000	22990000	1491000	6	5.0	27	0	https://salt.tikicdn.com/cache/280x280/ts/product/58/c8/ba/1d0bde7776e2d0e90ab4972f58a997e3.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 2, ""name"": ""Root"", ""is_leaf"": false}"
7	90142258	Laptop HP Pavilion 15-eg0003TX 2D9C5PA (Core i5-1135G7/ 4GB (4GBx1) DDR4 3200MHz/ 256GB PCIe NVMe/ MX450 2GB GDDR5/ 15.6 FHD IPS/ Win10 + Office) - Hàng Chính Hãng	laptop-hp-pavilion-15-eg0003tx-2d9c5pa-core-i5-1135g7-4gb-4gbx1-ddr4-3200mhz-256gb-pcie-nvme-mx450-2gb-gddr5-15-6-fhd-ips-win10-office-hang-chinh-hang-p90142258	laptop-hp-pavilion-15-eg0003tx-2d9c5pa-core-i5-1135g7-4gb-4gbx1-ddr4-3200mhz-256gb-pcie-nvme-mx450-2gb-gddr5-15-6-fhd-ips-win10-office-hang-chinh-hang-p90142258.html?spid=90142259	simple	"Thiết kế sang trọng, gọn nhẹ
Laptop HP Pavilion 15-eg0003TX 2D9C5PA (Core i5-1135G7/ 4GB (4GBx1) DDR4 3200MHz/ 256GB PCIe NVMe/ MX450 2GB GDDR5/ 15.6 FHD IPS/ Win10 + Office) - Hàng Chính Hãng được..."	17619000	17990000	371000	2	5.0	1	0	https://salt.tikicdn.com/cache/280x280/ts/product/04/ac/a9/aee1f1bc4656839d12457f0efe468ac7.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 29010, ""name"": ""Laptop Truyền Thống"", ""is_leaf"": true}"
8	84749366	Laptop HP Pavilion x360 14-dw1016TU 2H3Q0PA (Core i3-1115G4/ 4GB DDR4 3200MHz/ 256 GB PCIe NVMe M.2 SSD/ 14 FHD IPS Touch/ Win10 + Office) - Hàng Chính Hãng	laptop-hp-pavilion-x360-14-dw1016tu-2h3q0pa-core-i3-1115g4-4gb-ddr4-3200mhz-256-gb-pcie-nvme-m-2-ssd-14-fhd-ips-touch-win10-office-hang-chinh-hang-p84749366	laptop-hp-pavilion-x360-14-dw1016tu-2h3q0pa-core-i3-1115g4-4gb-ddr4-3200mhz-256-gb-pcie-nvme-m-2-ssd-14-fhd-ips-touch-win10-office-hang-chinh-hang-p84749366.html?spid=84749368	simple	"Thiết kế mỏng nhẹ, bản lề gập xoay 360 độ
Laptop HP Pavilion x360 14-dw1016TU 2H3Q0PA toát lên sự cao cấp nhờ thiết kế mỏng nhẹ, đường nét mạnh mẽ nhưng không kém phần tinh tế. Độ mỏng ấn tượng chỉ..."	14689000	14990000	301000	2	4.3	4	0	https://salt.tikicdn.com/cache/280x280/ts/product/35/84/dc/afb70488717f7b375a2e22752df47635.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 29008, ""name"": ""Laptop 2 trong 1"", ""is_leaf"": true}"
9	82482201	Laptop Asus Vivobook X415MA-BV088T (Pen N5030/ 4GB/ 256GB SSD/ 14 HD/ Win10) - Hàng Chính Hãng	laptop-asus-vivobook-x415ma-bv088t-pen-n5030-4gb-256gb-ssd-14-hd-win10-hang-chinh-hang-p82482201	laptop-asus-vivobook-x415ma-bv088t-pen-n5030-4gb-256gb-ssd-14-hd-win10-hang-chinh-hang-p82482201.html?spid=82482202	simple	"Thiết kế mỏng nhẹ
Laptop Asus Vivobook X415MA-BV088T được thiết kế tương đối gọn, nhẹ khoảng 1.8kg, có tính cơ động cao, dễ dàng mang theo khi di chuyển nhiều nơi. Đặc biệt phù hợp với đối tượng..."	8299000	8999000	700000	8	5.0	3	0	https://salt.tikicdn.com/cache/280x280/ts/product/f3/3f/87/1b638b3db378c0a9644fa1cdaa5dfb29.jpg	Laptop - Máy Vi Tính - Linh kiện	"{""id"": 29010, ""name"": ""Laptop Truyền Thống"", ""is_leaf"": true}"
