	id	name	url_key	url_path	type	short_description	price	list_price	discount	discount_rate	rating_average	review_count	order_count	thumbnail_url	productset_group_name	categories
0	68502459	Thùng Mì Hảo Hảo Hương Vị Tôm Chua Cay (30 Gói/ Thùng)	thung-mi-hao-hao-huong-vi-tom-chua-cay-30-goi-thung-p68502459	thung-mi-hao-hao-huong-vi-tom-chua-cay-30-goi-thung-p68502459.html?spid=72670968	simple	Mì tôm chua cay là hương vị mì ăn liền yêu thích và quen thuộc đối với người Việt. Tuy vậy, ít ai biết rằng Hảo Hảo là thương hiệu đầu tiên giới thiệu hương vị này tại thị trường...	105000	200000	95000	48	5.0	244	0	https://salt.tikicdn.com/cache/280x280/ts/product/d2/3e/b7/2e48945a8c46643cbb8a2afe8a299cdd.jpg	Bách Hóa Online	"{""id"": 4384, ""name"": ""Bách Hóa Online"", ""is_leaf"": false}"
1	49070804	Cơm Cháy TeTeFood Hương Vị Miền Núi Tây Nguyên 500 gram	com-chay-tetefood-huong-vi-mien-nui-tay-nguyen-500-gram-p49070804	com-chay-tetefood-huong-vi-mien-nui-tay-nguyen-500-gram-p49070804.html?spid=49070805	simple	"









 "	42000	99000	57000	58	4.5	977	0	https://salt.tikicdn.com/cache/280x280/ts/product/05/b8/b8/3a3aa0719dee9a91a32872e2c37725d5.jpg	Bách Hóa Online	"{""id"": 4384, ""name"": ""Bách Hóa Online"", ""is_leaf"": false}"
2	45803948	Gạo Thơm ST25 Túi 5Kg - Đạt Giải Gạo Ngon Nhất Thế Giới Năm 2019 tại Manila -  Đặc Sản Sóc Trăng	gao-thom-st25-tui-5kg-dat-giai-gao-ngon-nhat-the-gioi-nam-2019-tai-manila-dac-san-soc-trang-p45803948	gao-thom-st25-tui-5kg-dat-giai-gao-ngon-nhat-the-gioi-nam-2019-tai-manila-dac-san-soc-trang-p45803948.html?spid=45803949	simple	"


Khối lượng tịnh: 5kg
 Xuất sứ: Sóc Trăng, Việt Nam
Ngày sản xuất: Xem trên bao bì


Hạn sử dụng: 6 tháng
 Đóng gói: Túi 5Kg
Thương hiệu: Gạo ST


Thành phần: Gạo thơm ST25
 Sản xuất: DNTN Hồ Quang..."	195000	195000	0	0	4.7	664	0	https://salt.tikicdn.com/cache/280x280/ts/product/99/e2/4f/b390454fd84a6efb5d12e4d9dbb294ab.jpg	Bách Hóa Online	"{""id"": 4384, ""name"": ""Bách Hóa Online"", ""is_leaf"": false}"
3	22597852	1kg Khô gà lá chanh thượng hạng hiệu TETE	combo-2-kho-ga-la-chanh-cay-cay-gion-ngon-tete-500g-hop-p22597852	combo-2-kho-ga-la-chanh-cay-cay-gion-ngon-tete-500g-hop-p22597852.html?spid=22597853	simple	"


"	109000	250000	141000	56	4.5	1231	0	https://salt.tikicdn.com/cache/280x280/ts/product/fa/ae/c0/2197637fd5812da4ce62ec4beea1b4ce.jpg	Bách Hóa Online	"{""id"": 4384, ""name"": ""Bách Hóa Online"", ""is_leaf"": false}"
4	21912521	Cơm Cháy Lắc Khô Gà Lá Chanh TeTe 500 gram	com-chay-lac-kho-ga-la-chanh-tete-500-gram-p21912521	com-chay-lac-kho-ga-la-chanh-tete-500-gram-p21912521.html?spid=21912522	simple	"



 






"	48000	150000	102000	68	4.5	1343	0	https://salt.tikicdn.com/cache/280x280/ts/product/f4/d7/00/b874eb081e5b340bc86ded80bf1029cf.jpg	Bách Hóa Online	"{""id"": 4384, ""name"": ""Bách Hóa Online"", ""is_leaf"": false}"
5	56834655	1kg Bột Baking Soda Đa Công Dụng Arm & Hammer TETE	bot-baking-soda-da-cong-dung-arm-hammer-tete-1kg-p56834655	bot-baking-soda-da-cong-dung-arm-hammer-tete-1kg-p56834655.html?spid=56834656	simple	"








Giúp trị mụn, tẩy tế bào chết, dưỡng daGiúp dưỡng tóc, làm trắng răng hiệu quảMuối nổi trong làm bánh, tạo độ xốp mềm cho bánh
 
 
 "	42000	150000	108000	72	4.7	426	0	https://salt.tikicdn.com/cache/280x280/ts/product/31/5c/c1/01e27742a139f0a1a3e7ce4a4164bc77.jpg	Bách Hóa Online	"{""id"": 11340, ""name"": ""Các loại bột"", ""is_leaf"": true}"
6	67374514	Hạt Chia Seeds Tím Absotute Organic Úc túi 1kg	hat-chia-seeds-tim-absotute-organic-uc-tui-1kg-p67374514	hat-chia-seeds-tim-absotute-organic-uc-tui-1kg-p67374514.html?spid=67374515	simple	"Sản phẩm Hạt Chia Úc là một loại hạt vô cùng đặc biệt có nguồn gốc xuất sứ từ Trung và Nam Mỹ, Khởi đầu được người Aztec và người Maya sử dụng từ những năm 3.500 trước Công nguyên.
Cùng với điều kiện..."	110000	150000	40000	27	4.7	492	0	https://salt.tikicdn.com/cache/280x280/ts/product/91/d1/7e/5402b35969f8ad5460a953d3e05c7450.jpg	Bách Hóa Online	"{""id"": 6548, ""name"": ""Hạt, củ, quả khô"", ""is_leaf"": true}"
7	55065594	1Kg Cơm Cháy Lắc Khô Gà Giòn Ngon Chất Lượng	1kg-cha-bong-ga-cay-hie-u-tan-lo-c-pha-t-p55065594	1kg-cha-bong-ga-cay-hie-u-tan-lo-c-pha-t-p55065594.html?spid=55065595	simple	"
Xuất xứ: : Việt Nam.
Hạn sử dụng: 1 năm kể từ ngày sản xuất.
Quy cách đóng gói: Hũ 500G. Combo gồm 2 hũ 1kg.





Hũ có nắp đậy kín, màng bọc chắn gió, hợp vệ sinh an toàn. Trên nắp hũ có ngày sản..."	85000	150000	65000	43	4.6	217	0	https://salt.tikicdn.com/cache/280x280/ts/product/eb/98/f6/d8af4db16afe75650736009aebef4558.jpg	Bách Hóa Online	"{""id"": 4384, ""name"": ""Bách Hóa Online"", ""is_leaf"": false}"
8	534726	Thùng 24 Gói Miến Gói Phú Hương Hương Vị Sườn Heo Acecook	thung-24-goi-mien-goi-phu-huong-huong-vi-suon-heo-acecook-p534726	thung-24-goi-mien-goi-phu-huong-huong-vi-suon-heo-acecook-p534726.html	simple	Thùng 24 Gói Miến Gói Phú Hương Hương Vị Sườn Heo Acecook sẽ là lựa chọn hàng đầu dành cho các bà nội trợ khi không có nhiều thời gian dành cho việc nấu nướng. Miến được làm từ những thành phần...	214100	242000	27900	12	4.8	53	0	https://salt.tikicdn.com/cache/280x280/ts/product/2a/c7/12/583c326b38c05b30ae6bd27553b66290.jpg	Bách Hóa Online	"{""id"": 4384, ""name"": ""Bách Hóa Online"", ""is_leaf"": false}"
9	534723	Thùng 24 Gói Miến Gói Phú Hương Hương Vị Thịt Bằm Acecook	thung-24-goi-mien-goi-phu-huong-huong-vi-thit-bam-acecook-p534723	thung-24-goi-mien-goi-phu-huong-huong-vi-thit-bam-acecook-p534723.html	simple	Thùng 24 Gói Miến Gói Phú Hương Hương Vị Thịt Bằm Acecook là một trong những sản phẩm ăn liền tiện dụng, không mất nhiều thời gian chế biến, phù hợp cho nhiều đối tượng sử dụng. Sợi miến được làm từ...	214700	242000	27300	11	5.0	26	0	https://salt.tikicdn.com/cache/280x280/media/catalog/product/8/9/8934563120337.u2409.d20161123.t093041.574355.jpg	Bách Hóa Online	"{""id"": 4420, ""name"": ""Thực phẩm ăn liền"", ""is_leaf"": true}"
